vocab_id,word,level,unit_number,unit_title,part_of_speech,definition_ar,example_en,has_audio,has_image,keep_id,reason
f3a8e400-8699-4ffe-83d0-f87b7370acd8,hire,0,12,Jobs & Careers,verb,يوظف، يستأجر,The manager will hire two new people.,False,False,6b4a035b-49b9-47de-9770-10f49f87453f,same word+POS+def in unit
538978db-49c5-4973-a77b-6fe26de5ba3d,celebrate,1,1,Cultural Festivals,verb,يحتفل، يحتفي,We celebrate my birthday every year in January.,False,False,71fdc4df-7188-43bc-9e80-62e1f755157c,same word+POS+def in unit
c864dede-06bb-402d-ad23-3cb6906a969c,famous,1,5,Famous Places,adjective,مشهور، معروف,Paris is famous for the Eiffel Tower.,False,False,c630982c-3437-4329-be75-07ae7de9d4ac,same word+POS+def in unit
c5a7af40-4ed5-43f7-8599-c18bc3698cab,compete,1,7,Sports Stars,verb,يتنافس، يشارك في مسابقة,Ten students will compete in the spelling contest.,False,False,916f0434-f0d8-4482-bf5e-2a10298eac41,same word+POS+def in unit
6ed03a19-e643-46fc-babc-1ea51127f881,monitor,2,6,Future Cities,verb,يراقب، يتابع,Doctors monitor patients' health in the hospital.,False,False,3b724c20-2087-49b9-b24b-44d248303164,same word+POS+def in unit
7b058420-9b51-4500-af30-b8c98bccb05b,collect,2,10,Water Crisis,verb,يجمع، يحصل على,Children collect stamps as a hobby.,False,False,3b5043ca-a9d2-414d-8e6b-cfdf8d18975e,same word+POS+def in unit
51655839-08d9-4da0-a8a5-8a0b29b28587,derive,4,2,Deep Ocean Discovery,verb,يستمد، يحصل على، يشتق,Many medicines derive from natural plant compounds.,False,False,3904ae6f-7949-4e24-beb3-93033fb7f630,same word+POS+def in unit
825fb085-06ce-4da5-b385-6934d696e202,establish,4,2,Deep Ocean Discovery,verb,يؤسس، ينشئ، يقيم,The university plans to establish a new research center next year.,False,False,267ef336-9c0c-44bc-a740-8bcb3600038c,same word+POS+def in unit
e8d3a88c-3547-4c43-a1ad-3f8c7b7f5f16,facilitate,4,2,Deep Ocean Discovery,verb,يسهل، ييسر، يساعد على,Technology can facilitate communication between distant teams.,False,False,9407d679-50e3-4ca5-b311-05da7dbdf25a,same word+POS+def in unit
b3d40dbf-c6c9-4cc9-875e-628d97e9e648,monitor,4,3,Food Security,verb,يراقب، يتابع، يرصد,Doctors monitor patients' blood pressure during surgery.,False,False,7a86ffe4-3a22-47da-9144-f967e2f85d2b,same word+POS+def in unit
